FSMtype	States	Inputs	Outputs	Reduced	StronglyConnected	AccessSmax	AccessSmean	AccessSmedian	AccessSvariance	SepSmax	SepSmean	SepSmedian	SepSvariance	noSVS	SVSmax	SVSmean	SVSmedian	SVSvariance	ADSmax	ADSmean	ADSmedian	ADSvariance
4	100	2	2	1	1	11	6.360000	7.500000	5.210400	4	1.149899	2.000000	0.152884	8	7	5.478261	5.000000	0.401701	-1	-1	-1	-1	DFA_R100_DuWQU.fsm
4	100	2	2	1	1	11	6.060000	7.500000	4.856400	3	1.138788	2.000000	0.138516	14	7	5.558140	5.000000	0.502434	-1	-1	-1	-1	DFA_R100_E3viN.fsm
4	100	2	2	1	1	11	6.010000	3.500000	5.589900	3	1.129091	1.000000	0.126568	4	7	5.479167	6.000000	0.374566	-1	-1	-1	-1	DFA_R100_e6PnA.fsm
4	100	2	2	1	1	12	6.720000	7.500000	4.581600	4	1.136162	1.000000	0.140248	19	7	5.432099	6.000000	0.368846	-1	-1	-1	-1	DFA_R100_eBCrH.fsm
4	100	2	2	1	1	12	6.270000	5.500000	5.437100	3	1.127677	1.000000	0.124305	7	7	5.548387	6.000000	0.290669	-1	-1	-1	-1	DFA_R100_eCcE8.fsm
4	100	2	2	1	1	10	5.500000	5.500000	3.450000	3	1.132727	1.000000	0.134101	12	7	5.409091	5.000000	0.378099	-1	-1	-1	-1	DFA_R100_eu9uA.fsm
4	100	2	2	1	1	11	5.700000	6.500000	4.750000	3	1.124848	1.000000	0.120170	7	7	5.494624	6.000000	0.335993	-1	-1	-1	-1	DFA_R100_EUfzf.fsm
4	100	2	2	1	1	12	5.800000	9.500000	5.000000	3	1.133131	1.000000	0.130761	10	7	5.322222	5.000000	0.351728	-1	-1	-1	-1	DFA_R100_ewBnG.fsm
4	100	2	2	1	1	9	5.480000	7.000000	3.309600	4	1.165051	2.000000	0.174981	16	7	5.345238	5.500000	0.511763	-1	-1	-1	-1	DFA_R100_f6V9d.fsm
4	100	2	2	1	1	12	6.130000	7.500000	5.013100	4	1.140404	1.000000	0.139681	7	7	5.526882	5.000000	0.399815	-1	-1	-1	-1	DFA_R100_FAjgY.fsm
4	100	2	2	1	1	10	5.790000	6.500000	3.805900	3	1.134949	1.000000	0.131688	13	6	5.356322	5.000000	0.298322	-1	-1	-1	-1	DFA_R100_fInfn.fsm
4	100	2	2	1	1	11	5.920000	6.500000	5.193600	3	1.132929	1.000000	0.131017	5	7	5.378947	6.000000	0.361662	-1	-1	-1	-1	DFA_R100_Flg2S.fsm
4	100	2	2	1	1	10	5.490000	4.500000	3.969900	3	1.142626	1.000000	0.144506	7	8	5.473118	5.000000	0.571858	-1	-1	-1	-1	DFA_R100_FNdaE.fsm
4	100	2	2	1	1	10	5.530000	5.500000	3.709100	4	1.130909	1.000000	0.133974	12	7	5.431818	5.500000	0.358988	-1	-1	-1	-1	DFA_R100_FTHvF.fsm
4	100	2	2	1	1	11	5.600000	6.500000	4.280000	3	1.140808	2.000000	0.142395	18	7	5.463415	5.500000	0.565735	-1	-1	-1	-1	DFA_R100_Fwnl1.fsm
4	100	2	2	1	1	11	5.490000	5.000000	3.789900	4	1.157980	2.000000	0.153628	11	7	5.539326	6.000000	0.540588	-1	-1	-1	-1	DFA_R100_g0m8h.fsm
4	100	2	2	1	1	11	5.410000	5.500000	3.841900	3	1.126061	1.000000	0.122695	10	7	5.477778	6.000000	0.316173	-1	-1	-1	-1	DFA_R100_G9HSR.fsm
4	100	2	2	1	1	11	5.770000	1.500000	4.417100	3	1.140808	1.000000	0.138759	9	7	5.340659	6.000000	0.422413	-1	-1	-1	-1	DFA_R100_GDeoT.fsm
4	100	2	2	1	1	11	5.590000	5.500000	4.121900	4	1.133131	1.000000	0.136417	18	7	5.390244	5.000000	0.457466	-1	-1	-1	-1	DFA_R100_gGf4o.fsm
4	100	2	2	1	1	12	5.720000	5.500000	4.941600	3	1.130101	2.000000	0.129740	7	7	5.451613	5.000000	0.333680	-1	-1	-1	-1	DFA_R100_gZJee.fsm
4	100	2	2	1	1	9	5.350000	4.500000	3.267500	4	1.141010	1.000000	0.141732	17	7	5.433735	6.000000	0.341994	-1	-1	-1	-1	DFA_R100_H2Asc.fsm
4	100	2	2	1	1	9	5.280000	7.500000	3.161600	3	1.128889	2.000000	0.126418	13	6	5.471264	6.000000	0.295151	-1	-1	-1	-1	DFA_R100_h7c6v.fsm
4	100	2	2	1	1	8	5.360000	4.500000	3.250400	3	1.126263	1.000000	0.123654	8	7	5.369565	5.000000	0.319943	-1	-1	-1	-1	DFA_R100_HnWfX.fsm
4	100	2	2	1	1	9	5.590000	8.000000	3.821900	3	1.126465	1.000000	0.124613	13	6	5.448276	6.000000	0.270313	-1	-1	-1	-1	DFA_R100_hTbB7.fsm
4	100	2	2	1	1	13	6.970000	10.000000	5.929100	4	1.151515	3.000000	0.155629	15	7	5.458824	6.000000	0.507128	-1	-1	-1	-1	DFA_R100_IbECU.fsm
4	100	2	2	1	1	14	6.360000	5.500000	8.130400	4	1.136970	2.000000	0.135179	11	7	5.438202	6.000000	0.381012	-1	-1	-1	-1	DFA_R100_ihg6m.fsm
4	100	2	2	1	1	10	5.290000	6.500000	3.285900	4	1.139798	2.000000	0.139244	11	8	5.370787	7.000000	0.480495	-1	-1	-1	-1	DFA_R100_IJVog.fsm
4	100	2	2	1	1	10	6.140000	5.500000	5.120400	3	1.130101	1.000000	0.130548	15	7	5.317647	5.000000	0.357924	-1	-1	-1	-1	DFA_R100_iPAcC.fsm
4	100	2	2	1	1	10	5.640000	5.500000	3.810400	3	1.131111	1.000000	0.131699	13	7	5.402299	6.000000	0.378386	-1	-1	-1	-1	DFA_R100_iRtcP.fsm
4	100	2	2	1	1	10	5.770000	6.000000	4.397100	4	1.128283	1.000000	0.128392	19	6	5.382716	5.000000	0.310319	-1	-1	-1	-1	DFA_R100_JlbyP.fsm
4	100	2	2	1	1	11	5.680000	6.000000	4.177600	4	1.123636	1.000000	0.120068	14	7	5.441860	5.500000	0.316387	-1	-1	-1	-1	DFA_R100_K2VUN.fsm
4	100	2	2	1	1	11	5.680000	7.500000	4.557600	3	1.130101	2.000000	0.129740	17	7	5.530120	5.000000	0.393671	-1	-1	-1	-1	DFA_R100_KbOrO.fsm
4	100	2	2	1	1	12	5.890000	6.000000	5.077900	4	1.133333	1.000000	0.133737	13	7	5.425287	5.000000	0.382349	-1	-1	-1	-1	DFA_R100_kUiH6.fsm
4	100	2	2	1	1	9	5.420000	6.500000	3.243600	4	1.142626	2.000000	0.145718	13	7	5.482759	7.000000	0.364645	-1	-1	-1	-1	DFA_R100_KwwxQ.fsm
4	100	2	2	1	1	10	5.400000	9.500000	3.520000	4	1.154343	3.000000	0.151532	17	7	5.566265	7.000000	0.534766	-1	-1	-1	-1	DFA_R100_l0Wqt.fsm
4	100	2	2	1	1	12	5.890000	3.500000	5.157900	3	1.143232	2.000000	0.142111	18	7	5.426829	6.000000	0.366597	-1	-1	-1	-1	DFA_R100_LFzvP.fsm
4	100	2	2	1	1	10	5.660000	8.000000	4.204400	4	1.128687	1.000000	0.126268	13	7	5.402299	6.000000	0.309420	-1	-1	-1	-1	DFA_R100_M1QRz.fsm
4	100	2	2	1	1	10	5.270000	1.500000	3.297100	3	1.127475	1.000000	0.125366	5	7	5.557895	7.000000	0.415069	-1	-1	-1	-1	DFA_R100_MEL9y.fsm
4	100	2	2	1	1	9	5.570000	4.500000	3.845100	3	1.134949	1.000000	0.135728	18	7	5.353659	6.000000	0.326145	-1	-1	-1	-1	DFA_R100_nNUiV.fsm
4	100	2	2	1	1	14	6.060000	7.500000	5.896400	3	1.134141	1.000000	0.131501	19	7	5.444444	5.000000	0.345679	-1	-1	-1	-1	DFA_R100_owmjS.fsm
4	100	2	2	1	1	10	5.800000	8.000000	4.300000	3	1.126667	1.000000	0.124764	5	7	5.515789	6.000000	0.312909	-1	-1	-1	-1	DFA_R100_PfSIO.fsm
4	100	2	2	1	1	9	5.160000	4.500000	2.814400	3	1.132929	1.000000	0.134249	10	7	5.455556	5.500000	0.336914	-1	-1	-1	-1	DFA_R100_PZE7w.fsm
4	100	2	2	1	1	9	5.430000	7.500000	3.385100	4	1.133131	1.000000	0.133185	14	6	5.441860	4.500000	0.316387	-1	-1	-1	-1	DFA_R100_qEHA1.fsm
4	100	2	2	1	1	10	5.570000	2.500000	3.885100	4	1.136768	1.000000	0.135436	15	7	5.435294	6.000000	0.504637	-1	-1	-1	-1	DFA_R100_qghJF.fsm
